"","orthogroup","gene","species"
"114","OG0000000","HCON_00032120-00001","H. contortus"
"115","OG0000000","HCON_00032130-00001","H. contortus"
"116","OG0000000","HCON_00032620-00001","H. contortus"
"117","OG0000000","HCON_00033090-00001","H. contortus"
"118","OG0000000","HCON_00033610-00001","H. contortus"
"119","OG0000000","HCON_00033670-00001","H. contortus"
"120","OG0000000","HCON_00035160-00001","H. contortus"
"121","OG0000000","HCON_00035940-00001","H. contortus"
"122","OG0000000","HCON_00036120-00001","H. contortus"
"123","OG0000000","HCON_00036650-00001","H. contortus"
"124","OG0000000","HCON_00037420-00001","H. contortus"
"125","OG0000000","HCON_00039450-00001","H. contortus"
"126","OG0000000","HCON_00040720-00001","H. contortus"
"127","OG0000000","HCON_00040810-00001","H. contortus"
"128","OG0000000","HCON_00042220-00001","H. contortus"
"129","OG0000000","HCON_00042400-00001","H. contortus"
"130","OG0000000","HCON_00042560-00001","H. contortus"
"131","OG0000000","HCON_00042570-00001","H. contortus"
"132","OG0000000","HCON_00042680-00001","H. contortus"
"133","OG0000000","HCON_00042740-00001","H. contortus"
"134","OG0000000","HCON_00042890-00001","H. contortus"
"135","OG0000000","HCON_00043700-00001","H. contortus"
"136","OG0000000","HCON_00043840-00001","H. contortus"
"137","OG0000000","HCON_00043880-00001","H. contortus"
"138","OG0000000","HCON_00044150-00001","H. contortus"
"139","OG0000000","HCON_00044550-00001","H. contortus"
"140","OG0000000","HCON_00044670-00001","H. contortus"
"141","OG0000000","HCON_00044750-00001","H. contortus"
"142","OG0000000","HCON_00044760-00001","H. contortus"
"143","OG0000000","HCON_00044980-00001","H. contortus"
"144","OG0000000","HCON_00045110-00001","H. contortus"
"145","OG0000000","HCON_00045340-00001","H. contortus"
"146","OG0000000","HCON_00045860-00001","H. contortus"
"147","OG0000000","HCON_00045870-00001","H. contortus"
"148","OG0000000","HCON_00046070-00001","H. contortus"
"149","OG0000000","HCON_00046080-00001","H. contortus"
"150","OG0000000","HCON_00046470-00001","H. contortus"
"151","OG0000000","HCON_00046730-00001","H. contortus"
"152","OG0000000","HCON_00046970-00001","H. contortus"
"153","OG0000000","HCON_00047180-00001","H. contortus"
"154","OG0000000","HCON_00047190-00001","H. contortus"
"155","OG0000000","HCON_00047250-00001","H. contortus"
"156","OG0000000","HCON_00047550-00001","H. contortus"
"157","OG0000000","HCON_00047780-00001","H. contortus"
"158","OG0000000","HCON_00048250-00001","H. contortus"
"159","OG0000000","HCON_00048260-00001","H. contortus"
"160","OG0000000","HCON_00048350-00001","H. contortus"
"161","OG0000000","HCON_00048430-00001","H. contortus"
"162","OG0000000","HCON_00048610-00001","H. contortus"
"163","OG0000000","HCON_00048670-00001","H. contortus"
"164","OG0000000","HCON_00048890-00001","H. contortus"
"165","OG0000000","HCON_00049060-00001","H. contortus"
"166","OG0000000","HCON_00049080-00001","H. contortus"
"167","OG0000000","HCON_00049090-00001","H. contortus"
"168","OG0000000","HCON_00049120-00001","H. contortus"
"169","OG0000000","HCON_00049630-00001","H. contortus"
"170","OG0000000","HCON_00049710-00001","H. contortus"
"171","OG0000000","HCON_00049750-00001","H. contortus"
"172","OG0000000","HCON_00050170-00001","H. contortus"
"173","OG0000000","HCON_00050270-00001","H. contortus"
"174","OG0000000","HCON_00050570-00001","H. contortus"
"175","OG0000000","HCON_00050590-00001","H. contortus"
"176","OG0000000","HCON_00050610-00001","H. contortus"
"177","OG0000000","HCON_00050630-00001","H. contortus"
"178","OG0000000","HCON_00050790-00001","H. contortus"
"179","OG0000000","HCON_00050850-00001","H. contortus"
"180","OG0000000","HCON_00051190-00001","H. contortus"
"181","OG0000000","HCON_00051200-00001","H. contortus"
"182","OG0000000","HCON_00051320-00001","H. contortus"
"183","OG0000000","HCON_00052140-00001","H. contortus"
"184","OG0000000","HCON_00052920-00001","H. contortus"
"185","OG0000000","HCON_00052990-00001","H. contortus"
"186","OG0000000","HCON_00054670-00001","H. contortus"
"187","OG0000000","HCON_00054990-00001","H. contortus"
"188","OG0000000","HCON_00055000-00001","H. contortus"
"189","OG0000000","HCON_00055140-00001","H. contortus"
"190","OG0000000","HCON_00055150-00001","H. contortus"
"191","OG0000000","HCON_00055220-00001","H. contortus"
"192","OG0000000","HCON_00055280-00001","H. contortus"
"193","OG0000000","HCON_00055610-00001","H. contortus"
"194","OG0000000","HCON_00055630-00001","H. contortus"
"195","OG0000000","HCON_00055650-00001","H. contortus"
"196","OG0000000","HCON_00056060-00001","H. contortus"
"197","OG0000000","HCON_00056190-00001","H. contortus"
"198","OG0000000","HCON_00056200-00001","H. contortus"
"199","OG0000000","HCON_00057150-00001","H. contortus"
"200","OG0000000","HCON_00057280-00001","H. contortus"
"201","OG0000000","HCON_00057390-00001","H. contortus"
"202","OG0000000","HCON_00057440-00001","H. contortus"
"203","OG0000000","HCON_00057500-00001","H. contortus"
"204","OG0000000","HCON_00057870-00001","H. contortus"
"205","OG0000000","HCON_00057890-00001","H. contortus"
"206","OG0000000","HCON_00058370-00001","H. contortus"
"207","OG0000000","HCON_00059610-00001","H. contortus"
"208","OG0000000","HCON_00059620-00001","H. contortus"
"209","OG0000000","HCON_00061030-00001","H. contortus"
"210","OG0000000","HCON_00061260-00001","H. contortus"
"211","OG0000000","HCON_00061750-00001","H. contortus"
"212","OG0000000","HCON_00061760-00001","H. contortus"
"213","OG0000000","HCON_00062510-00001","H. contortus"
"214","OG0000000","HCON_00062790-00001","H. contortus"
"215","OG0000000","HCON_00063340-00001","H. contortus"
"216","OG0000000","HCON_00063350-00001","H. contortus"
"217","OG0000000","HCON_00063430-00001","H. contortus"
"218","OG0000000","HCON_00064170-00001","H. contortus"
"219","OG0000000","HCON_00064630-00001","H. contortus"
"220","OG0000000","HCON_00064850-00001","H. contortus"
"221","OG0000000","HCON_00065110-00001","H. contortus"
"222","OG0000000","HCON_00066290-00001","H. contortus"
"223","OG0000000","HCON_00066550-00001","H. contortus"
"224","OG0000000","HCON_00066610-00001","H. contortus"
"225","OG0000000","HCON_00066680-00001","H. contortus"
"226","OG0000000","HCON_00066910-00001","H. contortus"
"227","OG0000000","HCON_00067050-00001","H. contortus"
"228","OG0000000","HCON_00067060-00001","H. contortus"
"229","OG0000000","HCON_00069140-00001","H. contortus"
"230","OG0000000","HCON_00069170-00001","H. contortus"
"231","OG0000000","HCON_00069220-00001","H. contortus"
"232","OG0000000","HCON_00070500-00001","H. contortus"
"233","OG0000000","HCON_00071620-00001","H. contortus"
"234","OG0000000","HCON_00072380-00001","H. contortus"
"235","OG0000000","HCON_00072930-00001","H. contortus"
"236","OG0000000","HCON_00073340-00001","H. contortus"
"237","OG0000000","HCON_00074230-00001","H. contortus"
"238","OG0000000","HCON_00074890-00001","H. contortus"
"239","OG0000000","HCON_00074970-00001","H. contortus"
"240","OG0000000","HCON_00075520-00001","H. contortus"
"241","OG0000000","HCON_00075530-00001","H. contortus"
"242","OG0000000","HCON_00075710-00001","H. contortus"
"243","OG0000000","HCON_00075960-00001","H. contortus"
"244","OG0000000","HCON_00076880-00001","H. contortus"
"245","OG0000000","HCON_00076890-00001","H. contortus"
"246","OG0000000","HCON_00077270-00001","H. contortus"
"247","OG0000000","HCON_00077590-00001","H. contortus"
"248","OG0000000","HCON_00077680-00001","H. contortus"
"249","OG0000000","HCON_00077690-00001","H. contortus"
"250","OG0000000","HCON_00078700-00001","H. contortus"
"251","OG0000000","HCON_00078970-00001","H. contortus"
"252","OG0000000","HCON_00078980-00001","H. contortus"
"253","OG0000000","HCON_00079180-00001","H. contortus"
"254","OG0000000","HCON_00079190-00001","H. contortus"
"255","OG0000000","HCON_00079250-00001","H. contortus"
"256","OG0000000","HCON_00079640-00001","H. contortus"
"257","OG0000000","HCON_00079840-00001","H. contortus"
"258","OG0000000","HCON_00079850-00001","H. contortus"
"259","OG0000000","HCON_00079900-00001","H. contortus"
"260","OG0000000","HCON_00080140-00001","H. contortus"
"261","OG0000000","HCON_00080150-00001","H. contortus"
"262","OG0000000","HCON_00080160-00001","H. contortus"
"263","OG0000000","HCON_00080190-00001","H. contortus"
"264","OG0000000","HCON_00080200-00001","H. contortus"
"265","OG0000000","HCON_00080820-00001","H. contortus"
"266","OG0000000","HCON_00080830-00001","H. contortus"
"267","OG0000000","HCON_00081110-00001","H. contortus"
"268","OG0000000","HCON_00081950-00001","H. contortus"
"269","OG0000000","HCON_00082000-00001","H. contortus"
"270","OG0000000","HCON_00082010-00001","H. contortus"
"271","OG0000000","HCON_00082020-00001","H. contortus"
"272","OG0000000","HCON_00082270-00001","H. contortus"
"273","OG0000000","HCON_00082280-00001","H. contortus"
"274","OG0000000","HCON_00082450-00001","H. contortus"
"275","OG0000000","HCON_00082690-00001","H. contortus"
"276","OG0000000","HCON_00082780-00001","H. contortus"
"277","OG0000000","HCON_00083210-00001","H. contortus"
"278","OG0000000","HCON_00083360-00001","H. contortus"
"279","OG0000000","HCON_00083450-00001","H. contortus"
"280","OG0000000","HCON_00083570-00001","H. contortus"
"281","OG0000000","HCON_00083830-00001","H. contortus"
"282","OG0000000","HCON_00083840-00001","H. contortus"
"283","OG0000000","HCON_00084220-00001","H. contortus"
"284","OG0000000","HCON_00084230-00001","H. contortus"
"285","OG0000000","HCON_00084240-00001","H. contortus"
"286","OG0000000","HCON_00084270-00001","H. contortus"
"287","OG0000000","HCON_00084280-00001","H. contortus"
"288","OG0000000","HCON_00084330-00001","H. contortus"
"289","OG0000000","HCON_00084800-00001","H. contortus"
"290","OG0000000","HCON_00084870-00001","H. contortus"
"291","OG0000000","HCON_00085090-00001","H. contortus"
"292","OG0000000","HCON_00086040-00001","H. contortus"
"293","OG0000000","HCON_00086270-00001","H. contortus"
"294","OG0000000","HCON_00086700-00001","H. contortus"
"295","OG0000000","HCON_00087960-00001","H. contortus"
"296","OG0000000","HCON_00088040-00001","H. contortus"
"297","OG0000000","HCON_00088630-00001","H. contortus"
"298","OG0000000","HCON_00090120-00001","H. contortus"
"299","OG0000000","HCON_00090140-00001","H. contortus"
"300","OG0000000","HCON_00090390-00001","H. contortus"
"301","OG0000000","HCON_00090400-00001","H. contortus"
"302","OG0000000","HCON_00090410-00001","H. contortus"
"303","OG0000000","HCON_00091260-00001","H. contortus"
"304","OG0000000","HCON_00091320-00001","H. contortus"
"305","OG0000000","HCON_00091590-00001","H. contortus"
"306","OG0000000","HCON_00091950-00001","H. contortus"
"307","OG0000000","HCON_00092220-00001","H. contortus"
"308","OG0000000","HCON_00092640-00001","H. contortus"
"309","OG0000000","HCON_00092660-00001","H. contortus"
"310","OG0000000","HCON_00094210-00001","H. contortus"
"311","OG0000000","HCON_00094670-00001","H. contortus"
"312","OG0000000","HCON_00095490-00001","H. contortus"
"313","OG0000000","HCON_00095580-00001","H. contortus"
"314","OG0000000","HCON_00095750-00001","H. contortus"
"315","OG0000000","HCON_00095860-00001","H. contortus"
"316","OG0000000","HCON_00095950-00001","H. contortus"
"317","OG0000000","HCON_00096010-00001","H. contortus"
"318","OG0000000","HCON_00096090-00001","H. contortus"
"319","OG0000000","HCON_00096100-00001","H. contortus"
"320","OG0000000","HCON_00096210-00001","H. contortus"
"321","OG0000000","HCON_00096220-00001","H. contortus"
"322","OG0000000","HCON_00096230-00001","H. contortus"
"323","OG0000000","HCON_00096260-00001","H. contortus"
"324","OG0000000","HCON_00096350-00001","H. contortus"
"325","OG0000000","HCON_00096360-00001","H. contortus"
"326","OG0000000","HCON_00096450-00001","H. contortus"
"327","OG0000000","HCON_00096460-00001","H. contortus"
"328","OG0000000","HCON_00096470-00001","H. contortus"
"329","OG0000000","HCON_00096860-00001","H. contortus"
"330","OG0000000","HCON_00097420-00001","H. contortus"
"331","OG0000000","HCON_00097885-00001","H. contortus"
"332","OG0000000","HCON_00097980-00001","H. contortus"
"333","OG0000000","HCON_00098860-00001","H. contortus"
"334","OG0000000","HCON_00101390-00001","H. contortus"
"335","OG0000000","HCON_00102390-00001","H. contortus"
"336","OG0000000","HCON_00102690-00001","H. contortus"
"337","OG0000000","HCON_00103780-00001","H. contortus"
"338","OG0000000","HCON_00103900-00001","H. contortus"
"339","OG0000000","HCON_00104330-00001","H. contortus"
"340","OG0000000","HCON_00104440-00001","H. contortus"
"341","OG0000000","HCON_00104810-00001","H. contortus"
"342","OG0000000","HCON_00104970-00001","H. contortus"
"343","OG0000000","HCON_00105900-00001","H. contortus"
"344","OG0000000","HCON_00105970-00001","H. contortus"
"345","OG0000000","HCON_00106060-00001","H. contortus"
"346","OG0000000","HCON_00106080-00001","H. contortus"
"347","OG0000000","HCON_00106100-00001","H. contortus"
"348","OG0000000","HCON_00106110-00001","H. contortus"
"349","OG0000000","HCON_00106120-00001","H. contortus"
"350","OG0000000","HCON_00106180-00001","H. contortus"
"351","OG0000000","HCON_00107660-00001","H. contortus"
"352","OG0000000","HCON_00107910-00001","H. contortus"
"353","OG0000000","HCON_00107940-00001","H. contortus"
"354","OG0000000","HCON_00108060-00001","H. contortus"
"355","OG0000000","HCON_00108360-00001","H. contortus"
"356","OG0000000","HCON_00108400-00001","H. contortus"
"357","OG0000000","HCON_00108410-00001","H. contortus"
"358","OG0000000","HCON_00109190-00001","H. contortus"
"359","OG0000000","HCON_00109250-00001","H. contortus"
"360","OG0000000","HCON_00109430-00001","H. contortus"
"361","OG0000000","HCON_00109510-00001","H. contortus"
"362","OG0000000","HCON_00109850-00001","H. contortus"
"363","OG0000000","HCON_00110230-00001","H. contortus"
"364","OG0000000","HCON_00110330-00001","H. contortus"
"365","OG0000000","HCON_00110830-00001","H. contortus"
"366","OG0000000","HCON_00111220-00001","H. contortus"
"367","OG0000000","HCON_00111360-00001","H. contortus"
"368","OG0000000","HCON_00111840-00001","H. contortus"
"369","OG0000000","HCON_00111970-00001","H. contortus"
"370","OG0000000","HCON_00112300-00001","H. contortus"
"371","OG0000000","HCON_00112310-00001","H. contortus"
"372","OG0000000","HCON_00112410-00001","H. contortus"
"373","OG0000000","HCON_00112460-00001","H. contortus"
"374","OG0000000","HCON_00112490-00001","H. contortus"
"375","OG0000000","HCON_00112900-00001","H. contortus"
"376","OG0000000","HCON_00113140-00001","H. contortus"
"377","OG0000000","HCON_00113150-00001","H. contortus"
"378","OG0000000","HCON_00113160-00001","H. contortus"
"379","OG0000000","HCON_00113320-00001","H. contortus"
"380","OG0000000","HCON_00113380-00001","H. contortus"
"381","OG0000000","HCON_00113410-00001","H. contortus"
"382","OG0000000","HCON_00113490-00001","H. contortus"
"383","OG0000000","HCON_00113960-00001","H. contortus"
"384","OG0000000","HCON_00114060-00001","H. contortus"
"385","OG0000000","HCON_00114150-00001","H. contortus"
"386","OG0000000","HCON_00114370-00001","H. contortus"
"387","OG0000000","HCON_00114460-00001","H. contortus"
"388","OG0000000","HCON_00114560-00001","H. contortus"
"389","OG0000000","HCON_00114950-00001","H. contortus"
"390","OG0000000","HCON_00115090-00001","H. contortus"
"391","OG0000000","HCON_00115170-00001","H. contortus"
"392","OG0000000","HCON_00115350-00001","H. contortus"
"393","OG0000000","HCON_00115510-00001","H. contortus"
"394","OG0000000","HCON_00115520-00001","H. contortus"
"395","OG0000000","HCON_00115530-00001","H. contortus"
"396","OG0000000","HCON_00115830-00001","H. contortus"
"397","OG0000000","HCON_00116200-00001","H. contortus"
"398","OG0000000","HCON_00116230-00001","H. contortus"
"399","OG0000000","HCON_00116330-00001","H. contortus"
"400","OG0000000","HCON_00116350-00001","H. contortus"
"401","OG0000000","HCON_00116390-00001","H. contortus"
"402","OG0000000","HCON_00116580-00001","H. contortus"
"403","OG0000000","HCON_00116590-00001","H. contortus"
"404","OG0000000","HCON_00116620-00001","H. contortus"
"405","OG0000000","HCON_00116680-00001","H. contortus"
"406","OG0000000","HCON_00116790-00001","H. contortus"
"407","OG0000000","HCON_00117090-00001","H. contortus"
"408","OG0000000","HCON_00117100-00001","H. contortus"
"409","OG0000000","HCON_00117130-00001","H. contortus"
"410","OG0000000","HCON_00117360-00001","H. contortus"
"411","OG0000000","HCON_00117370-00001","H. contortus"
"412","OG0000000","HCON_00117480-00001","H. contortus"
"413","OG0000000","HCON_00117490-00001","H. contortus"
"414","OG0000000","HCON_00117590-00001","H. contortus"
"415","OG0000000","HCON_00118060-00001","H. contortus"
"416","OG0000000","HCON_00118310-00001","H. contortus"
"417","OG0000000","HCON_00118510-00001","H. contortus"
"418","OG0000000","HCON_00118950-00001","H. contortus"
"419","OG0000000","HCON_00119000-00001","H. contortus"
"420","OG0000000","HCON_00119140-00001","H. contortus"
"421","OG0000000","HCON_00119250-00001","H. contortus"
"422","OG0000000","HCON_00120240-00001","H. contortus"
"423","OG0000000","HCON_00120630-00001","H. contortus"
"424","OG0000000","HCON_00121120-00001","H. contortus"
"425","OG0000000","HCON_00121930-00001","H. contortus"
"426","OG0000000","HCON_00121940-00001","H. contortus"
"427","OG0000000","HCON_00122030-00001","H. contortus"
"428","OG0000000","HCON_00122480-00001","H. contortus"
"429","OG0000000","HCON_00122630-00001","H. contortus"
"430","OG0000000","HCON_00123860-00001","H. contortus"
"431","OG0000000","HCON_00125230-00001","H. contortus"
"432","OG0000000","HCON_00125660-00001","H. contortus"
"433","OG0000000","HCON_00126080-00001","H. contortus"
"434","OG0000000","HCON_00126090-00001","H. contortus"
"435","OG0000000","HCON_00126100-00001","H. contortus"
"436","OG0000000","HCON_00126190-00001","H. contortus"
"437","OG0000000","HCON_00126910-00001","H. contortus"
"438","OG0000000","HCON_00127250-00001","H. contortus"
"439","OG0000000","HCON_00127830-00001","H. contortus"
"440","OG0000000","HCON_00127840-00001","H. contortus"
"441","OG0000000","HCON_00127850-00001","H. contortus"
"442","OG0000000","HCON_00128050-00001","H. contortus"
"443","OG0000000","HCON_00128110-00001","H. contortus"
"444","OG0000000","HCON_00128350-00001","H. contortus"
"445","OG0000000","HCON_00128930-00001","H. contortus"
"446","OG0000000","HCON_00129080-00001","H. contortus"
"447","OG0000000","HCON_00130590-00001","H. contortus"
"448","OG0000000","HCON_00130900-00001","H. contortus"
"449","OG0000000","HCON_00130980-00001","H. contortus"
"450","OG0000000","HCON_00130990-00001","H. contortus"
"451","OG0000000","HCON_00131070-00001","H. contortus"
"452","OG0000000","HCON_00131090-00001","H. contortus"
"453","OG0000000","HCON_00131170-00001","H. contortus"
"454","OG0000000","HCON_00131180-00001","H. contortus"
"455","OG0000000","HCON_00131240-00001","H. contortus"
"456","OG0000000","HCON_00131260-00001","H. contortus"
"457","OG0000000","HCON_00131420-00001","H. contortus"
"458","OG0000000","HCON_00131570-00001","H. contortus"
"459","OG0000000","HCON_00131650-00001","H. contortus"
"460","OG0000000","HCON_00131880-00001","H. contortus"
"461","OG0000000","HCON_00132690-00001","H. contortus"
"462","OG0000000","HCON_00132700-00001","H. contortus"
"463","OG0000000","HCON_00133730-00001","H. contortus"
"464","OG0000000","HCON_00133760-00001","H. contortus"
"465","OG0000000","HCON_00133810-00001","H. contortus"
"466","OG0000000","HCON_00133840-00001","H. contortus"
"467","OG0000000","HCON_00136580-00001","H. contortus"
"468","OG0000000","HCON_00136590-00001","H. contortus"
"469","OG0000000","HCON_00137410-00001","H. contortus"
"470","OG0000000","HCON_00137420-00001","H. contortus"
"471","OG0000000","HCON_00137430-00001","H. contortus"
"472","OG0000000","HCON_00137650-00001","H. contortus"
"473","OG0000000","HCON_00138060-00001","H. contortus"
"474","OG0000000","HCON_00139230-00001","H. contortus"
"475","OG0000000","HCON_00139240-00001","H. contortus"
"476","OG0000000","HCON_00139250-00001","H. contortus"
"477","OG0000000","HCON_00139770-00001","H. contortus"
"478","OG0000000","HCON_00139780-00001","H. contortus"
"479","OG0000000","HCON_00139790-00001","H. contortus"
"480","OG0000000","HCON_00139800-00001","H. contortus"
"481","OG0000000","HCON_00140310-00001","H. contortus"
"482","OG0000000","HCON_00140520-00001","H. contortus"
"483","OG0000000","HCON_00140690-00001","H. contortus"
"484","OG0000000","HCON_00141150-00001","H. contortus"
"485","OG0000000","HCON_00141220-00001","H. contortus"
"486","OG0000000","HCON_00141420-00001","H. contortus"
"487","OG0000000","HCON_00141430-00001","H. contortus"
"488","OG0000000","HCON_00141680-00001","H. contortus"
"489","OG0000000","HCON_00141820-00001","H. contortus"
"490","OG0000000","HCON_00142030-00001","H. contortus"
"491","OG0000000","HCON_00142060-00001","H. contortus"
"492","OG0000000","HCON_00142080-00001","H. contortus"
"493","OG0000000","HCON_00142210-00001","H. contortus"
"494","OG0000000","HCON_00142220-00001","H. contortus"
"495","OG0000000","HCON_00142230-00001","H. contortus"
"496","OG0000000","HCON_00142270-00001","H. contortus"
"497","OG0000000","HCON_00142380-00001","H. contortus"
"498","OG0000000","HCON_00142630-00001","H. contortus"
"499","OG0000000","HCON_00142860-00001","H. contortus"
"500","OG0000000","HCON_00143700-00001","H. contortus"
"501","OG0000000","HCON_00143990-00001","H. contortus"
"502","OG0000000","HCON_00144000-00001","H. contortus"
"503","OG0000000","HCON_00144010-00001","H. contortus"
"504","OG0000000","HCON_00144080-00001","H. contortus"
"505","OG0000000","HCON_00144110-00001","H. contortus"
"506","OG0000000","HCON_00144190-00001","H. contortus"
"507","OG0000000","HCON_00144410-00001","H. contortus"
"508","OG0000000","HCON_00144420-00001","H. contortus"
"509","OG0000000","HCON_00144650-00001","H. contortus"
"510","OG0000000","HCON_00144810-00001","H. contortus"
"511","OG0000000","HCON_00145360-00001","H. contortus"
"512","OG0000000","HCON_00145450-00001","H. contortus"
"513","OG0000000","HCON_00145620-00001","H. contortus"
"514","OG0000000","HCON_00145870-00001","H. contortus"
"515","OG0000000","HCON_00145920-00001","H. contortus"
"516","OG0000000","HCON_00146160-00001","H. contortus"
"517","OG0000000","HCON_00146200-00001","H. contortus"
