"","transcriptID","WormBaseID","locus","start","stop","VL_am","VL_lm","VL_nil","VC_lm","VC_nil","VR_am","VR_lm","VR_nil","HCON_ortho","HCON_start","HCON_stop","interval_1_status","interval_2_status"
"30","T09F5.2","WBGene00011666",NA,15150961,15151638,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"31","C04E6.9","WBGene00005094","srd-16",5898538,5900040,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"32","C04E6.8","WBGene00015424",NA,5882563,5883835,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"33","Y49A3A.5","WBGene00000877","cyn-1",14356076,14356925,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"34","T09F5.5","WBGene00005278","srh-55",15153577,15154994,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"35","T15B7.14","WBGene00020526",NA,6832243,6835342,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","T15B7.16","WBGene00020528","lgc-54",6840217,6846607,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","C04E6.7","WBGene00015423",NA,5881849,5895209,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"38","C04E6.6","WBGene00001698","grd-9",5895388,5898602,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"39","C04E6.5","WBGene00015422",NA,5902133,5904843,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"40","F09G2.1a","WBGene00017310",NA,7200224,7205632,NA,NA,NA,"Y",NA,NA,NA,NA,"HCON_00143540-00001","18134886","18169416",NA,NA
"41","T28A11.3","WBGene00020870",NA,3275333,3276110,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","T28A11.2","WBGene00020869",NA,3280372,3281171,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","T28A11.1","WBGene00006127","str-64",3283257,3284930,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","T28A11.7","WBGene00020874","srbc-5",3260375,3262082,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","T28A11.4","WBGene00020871",NA,3274050,3274446,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","T28A11.9","WBGene00005596","srj-8",3247815,3249140,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","C31A11.13","WBGene00206534",NA,16301804,16302551,NA,NA,NA,NA,NA,"Y","Y","Y",NA,NA,NA,NA,NA
"48","D1065.1a","WBGene00017034","otpl-2",4073755,4077577,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","C31A11.10","WBGene00044106","srbc-84",16298969,16299862,NA,NA,NA,NA,NA,"Y","Y","Y",NA,NA,NA,NA,NA
"50","ZK262.20","WBGene00219370",NA,18434511,18435061,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"51","F44C8.6a","WBGene00003646","nhr-56",2219004,2221360,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","C31A11.3","WBGene00007831","srbc-83",16297370,16298278,NA,NA,NA,NA,NA,"Y","Y","Y",NA,NA,NA,NA,NA
"53","C14C11.3","WBGene00015767","hex-2",5654449,5658699,NA,NA,NA,NA,"Y",NA,NA,NA,"HCON_00158140-00001","41485643","41496501","Y",NA
"54","F35E8.6","WBGene00009420",NA,15912148,15913056,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"55","T25E12.8","WBGene00012023","clec-34",16735765,16737404,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"56","Y73C8B.5a","WBGene00044525",NA,3197547,3198333,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","T06E6.9","WBGene00005471","srh-265",15416251,15417616,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"58","F43D2.1","WBGene00009650","ccnk-1",14612432,14613706,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00158560-00001","41985822","41988119","Y",NA
"59","F53E10.2b","WBGene00000056","acr-17",2608656,2615247,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","T06E6.6","WBGene00005463","srh-257",15407228,15411380,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"61","T01G5.4","WBGene00005658","srr-7",15128255,15129986,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"62","T01G5.5","WBGene00006215","str-171",15130384,15132523,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"63","T01G5.6","WBGene00011341",NA,15113781,15114092,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"64","T01G5.7","WBGene00011342",NA,15111960,15113611,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"65","K07C6.10","WBGene00005958","srx-67",3917419,3918446,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","T01G5.1","WBGene00011339",NA,15116844,15119621,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"67","T01G5.3","WBGene00005615","srj-27",15126212,15127513,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"68","T06E6.5","WBGene00011539","fbxa-135",15402268,15404399,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"69","T20B3.12","WBGene00011852","clec-26",16848611,16850130,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"70","T20B3.13","WBGene00011853","clec-40",16839121,16841061,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"71","T20B3.15","WBGene00044331","clec-25",16843241,16844706,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"72","T20B3.16","WBGene00044332","clec-36",16846811,16848598,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"73","T06E6.3","WBGene00005931","fbxa-199",15397385,15398828,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"74","C10G8.8a","WBGene00015684",NA,5324806,5328470,NA,NA,NA,NA,"Y",NA,NA,NA,"HCON_00152250-00001","32802709","32812031",NA,NA
"75","F08H9.4a","WBGene00008592",NA,14463588,14464428,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"76","C15H11.4","WBGene00000985","dhs-22",14420069,14421450,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"77","T06E6.1","WBGene00011538",NA,15393108,15394961,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00153470-00001","34842865","34848821",NA,NA
"78","T21H3.1a","WBGene00020662",NA,1176724,1178864,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ZK228.8","WBGene00005393","srh-178",18478417,18480331,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"80","C38D9.2","WBGene00008010",NA,17567513,17571703,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"81","Y51A2B.5","WBGene00013069",NA,18389277,18391349,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"82","K09D9.14","WBGene00269424",NA,4020728,4021876,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Y5H2A.1","WBGene00021162",NA,2271113,2271861,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","C47E8.7","WBGene00006836","unc-112",14691851,14697107,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00151550-00001","31916722","31924599",NA,NA
"85","C47E8.5","WBGene00000915","hsp-90",14684918,14688543,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00136990-00001","8023854","8027468",NA,NA
"86","Y5H2A.2","WBGene00021163","nhr-275",2264909,2267058,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","C47E8.1","WBGene00008141",NA,14666005,14667158,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"88","T27C4.2a","WBGene00020855","hpo-36",3727253,3739401,"Y",NA,NA,NA,NA,NA,NA,NA,"HCON_00138470-00001","9968290","9986025",NA,NA
"89","Y57E12B.10","WBGene00202501",NA,6935553,6935863,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Y5H2A.3","WBGene00000027","abu-4",2274842,2275977,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","K04A8.4a","WBGene00006665","twk-10",6552340,6560256,NA,NA,NA,"Y",NA,NA,NA,NA,"HCON_00148710-00001","27396118","27408862",NA,NA
"92","Y102A5C.40","WBGene00077624",NA,16986460,16987135,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"93","F47B8.5b","WBGene00009806",NA,14325787,14327876,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"94","C41G6.12","WBGene00008058",NA,15207088,15207781,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"95","C41G6.13","WBGene00008059",NA,15208422,15209332,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"96","F14D7.8","WBGene00008795",NA,14311882,14312788,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"97","C41G6.15","WBGene00005760","srw-13",15232500,15233844,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"98","F14D7.3","WBGene00008790",NA,14296799,14297222,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"99","F14D7.2","WBGene00008789",NA,14291905,14293716,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"100","F14D7.1","WBGene00008788",NA,14288733,14289718,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"101","F14D7.7","WBGene00008794",NA,14306468,14306871,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"102","Y80D3A.2a","WBGene00001258","emb-4",18860285,18894974,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00142690-00001","16780208","16793150",NA,NA
"103","Y37H2A.12a","WBGene00044758",NA,18129152,18131125,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"104","F21D9.3","WBGene00009017",NA,19257583,19257787,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"105","F44C8.2","WBGene00003724","nhr-134",2231020,2233387,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","F44C8.3","WBGene00003617","nhr-18",2227203,2228981,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","F44C8.1","WBGene00018413","cyp-33C4",2236140,2237999,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","F44C8.7","WBGene00018414","nstp-8",2215652,2218160,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","F44C8.4","WBGene00003693","nhr-103",2225430,2227070,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","F40G12.15","WBGene00044002","srt-74",14281120,14282322,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"111","T08G5.1","WBGene00011622",NA,14018766,14020332,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"112","T08G5.2","WBGene00011623",NA,14024838,14025656,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"113","T08G5.7","WBGene00011626",NA,14044374,14045217,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"114","Y49G5A.1","WBGene00021731",NA,5286343,5287373,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA
"115","C45H4.16","WBGene00016696","srbc-19",2164788,2166779,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","C45H4.15","WBGene00006281","str-255",2161500,2163835,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","C45H4.13","WBGene00016694",NA,2150091,2150976,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","C45H4.12","WBGene00006117","str-52",2145485,2146144,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","T10B5.7a","WBGene00020393",NA,1846201,1848015,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","C45H4.10","WBGene00016692","srbc-24",2151762,2153010,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","W02H5.2","WBGene00020957",NA,2639335,2647071,"Y","Y","Y",NA,NA,NA,NA,NA,"HCON_00145140-00001","21068661","21072437",NA,NA
"122","F59B1.9a","WBGene00000062","acr-23",3651659,3659572,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","T05H4.4","WBGene00020267",NA,6438901,6440096,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","T05H4.5","WBGene00020268","hpo-19",6436578,6437884,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Y45G12C.2a","WBGene00001758","gst-10",2561690,2564701,"Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","T05H4.1","WBGene00020264","acl-8",6450870,6453118,NA,NA,NA,"Y",NA,NA,NA,NA,"HCON_00163450-00001","48313426","48341550",NA,NA
"127","T05H4.2","WBGene00020265","fbxa-196",6448656,6450217,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","T05H4.3","WBGene00020266",NA,6442337,6447556,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","F27E11.2","WBGene00017868","slc-28.2",3459740,3463087,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","F27E11.3","WBGene00000478","cfz-2",3441504,3444877,"Y",NA,NA,NA,NA,NA,NA,NA,"HCON_00158190-00001","41592297","41598580","Y",NA
"131","T06C12.2","WBGene00006122","str-57",15871170,15872351,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"132","T06C12.3","WBGene00006121","str-56",15872573,15873770,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"133","CD4.11","WBGene00044542",NA,5585182,5591603,NA,NA,NA,NA,"Y",NA,NA,NA,"HCON_00146600-00001","24059783","24077756",NA,NA
"134","T06C12.6","WBGene00003692","nhr-102",15874093,15876408,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"135","T06C12.4","WBGene00011513","fbxa-197",15867679,15869051,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"136","F10G2.3","WBGene00017364","clec-7",7328392,7330113,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","F10G2.2","WBGene00017363",NA,7331168,7331779,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","F10G2.1","WBGene00017362",NA,7332553,7333354,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","H27D07.3a","WBGene00005890","srw-143",2939603,2941505,"Y","Y","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","F10G2.7","WBGene00017366",NA,7335866,7337300,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","F10G2.4","WBGene00017365",NA,7327135,7327856,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","F28F8.6","WBGene00006446","atx-3",15575395,15576887,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"143","F10G2.9","WBGene00017367","nhr-263",7340406,7342042,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","F10G2.8","WBGene00005402","srh-187",7338593,7339931,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","F28F8.3","WBGene00003079","lsm-5",15569935,15570736,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00154410-00001","36445562","36447199",NA,NA
"146","F55B12.3a","WBGene00004767","sel-10",13818119,13823091,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"147","Y80D3A.1","WBGene00006945","wars-1",18852703,18859221,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00142670-00001","16768607","16774771",NA,NA
"148","D1086.8a","WBGene00008395",NA,14094105,14097115,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"149","Y102A5C.33","WBGene00013629","srz-95",16992034,16993910,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"150","T08G5.5b","WBGene00011625","vps-39",14034323,14038372,NA,NA,NA,NA,NA,NA,NA,"Y","HCON_00138270-00001","9783471","9790667",NA,NA
"151","C04E12.7","WBGene00015437","scrm-3",3355731,3357209,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Y46H3D.4","WBGene00021609","irld-17",1632017,1635883,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","C04E12.4","WBGene00015434",NA,3362775,3368344,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Y46H3D.2","WBGene00006252","str-221",1640308,1642287,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Y46H3D.3","WBGene00006253","str-222",1636159,1639281,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Y46H3D.1","WBGene00021608",NA,1642499,1643121,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","T10C6.15a","WBGene00050899",NA,16044294,16045940,NA,NA,NA,NA,NA,"Y","Y","Y",NA,NA,NA,NA,NA
"158","T08B1.4b","WBGene00020341",NA,1977962,1982692,"Y",NA,"Y",NA,NA,NA,NA,NA,"HCON_00152850-00001","33678762","33686822",NA,NA
"159","Y46H3D.8","WBGene00021612",NA,1630309,1631248,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","C04E12.8","WBGene00006012","srx-121",3370942,3372773,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Y6G8.16","WBGene00194801",NA,17606350,17606964,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"162","Y6G8.14","WBGene00138715",NA,17613751,17614357,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"163","Y6G8.15","WBGene00189937",NA,17609999,17610609,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"164","F16B4.6a","WBGene00017508",NA,1587206,1587982,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","R12A1.2a","WBGene00004925","snt-5",1393112,1411616,NA,NA,"Y",NA,NA,NA,NA,NA,"HCON_00151210-00001","31432733","31482999",NA,NA
"166","C24G6.2a","WBGene00016059","hir-1",5522139,5530737,NA,NA,NA,NA,"Y",NA,NA,NA,"HCON_00157730-00001","40981402","40992651","Y",NA
"167","F13H6.5","WBGene00017433",NA,6372111,6374944,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","T23F1.6","WBGene00004153","pqn-71",15465677,15467099,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"169","T15B7.15","WBGene00020527",NA,6836695,6838665,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","T09F5.9","WBGene00011668","clec-47",15175673,15176324,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"171","Y50D4A.4a","WBGene00021738",NA,1184874,1196146,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","F36G9.11","WBGene00009487","clec-232",15976147,15977617,NA,NA,NA,NA,NA,NA,"Y","Y",NA,NA,NA,NA,NA
"173","F16B4.5b","WBGene00017507",NA,1588548,1591727,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","F44G3.10","WBGene00009710",NA,16138760,16139627,NA,NA,NA,NA,NA,"Y","Y","Y",NA,NA,NA,NA,NA
"175","T15B7.12","WBGene00020524","dmsr-13",6817890,6819912,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","B0391.9","WBGene00007164","fbxa-139",15593391,15593823,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"177","B0391.6","WBGene00007163","fbxa-154",15602915,15605155,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"178","B0391.4","WBGene00006080","str-12",15610890,15612591,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"179","T15B7.13","WBGene00020525","dmsr-15",6827071,6828886,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","B0462.5","WBGene00194695",NA,18322215,18323331,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"181","F09C6.6","WBGene00008618","fbxa-45",16898457,16899455,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"182","F09F3.1a","WBGene00006021","srx-130",13843447,13844962,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"183","Y46H3D.5b","WBGene00003700","nhr-110",1622264,1624433,NA,NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","B0462.4","WBGene00007183",NA,18329112,18331179,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"185","F59B1.2","WBGene00019097",NA,3632361,3634685,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","F59B1.3","WBGene00005984","srx-93",3619459,3620708,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","T26E4.4","WBGene00012046",NA,15790207,15792509,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
"188","F59B1.6","WBGene00019099",NA,3629473,3631691,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","F59B1.7","WBGene00005932","srx-41",3634564,3637179,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","F59B1.4","WBGene00019098",NA,3624445,3627044,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","T26E4.1","WBGene00012043","irld-52",15779693,15781179,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA
